Municipios,Total,Hombres,Mujeres,Total_Urb,Hombres_Urb,Mujeres_Urb,Total_Rur,Hombres_Rur,Mujeres_Rur
El Salvador ,43 049,21 911,21 138,9710,4609,5101,33339,17302,16037
Manuel Tames ,38742,19719,19023,21496,10435,11061,17246,9284,7962
Yateras ,19278,10006,9272,3301,1620,1072,15977,8377,7600
Baracoa ,81298,41074,40224,45005,21964,23041,36293,19110,17183
Maisí ,28551,15039,13512,2928,1464,1464,25623,13575,12048
Imías ,21263,10908,10355,9759,4846,4913,11504,6062,5442
San Antonio del Sur ,25846,13398,12448,4866,2374,2492,20980,11024,9956
Caimanera ,11098,5634,5464,8102,4039,4063,2996,1595,1401
Guantánamo,228957,110342,118615,219911,104864,115047,9046,5478,33568
Niceto Pérez ,16827,8889,7938,2889,1413,1476,13938,7476,6462
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
